tiempo,error_posicion,error_yaw
0.04759955406188965,0.15236442548700796,1.8782031448914283
0.09787321090698242,0.15236442618030024,1.8785592650982639
0.14725494384765625,0.15236382192413703,1.922149794190101
0.19727659225463867,0.15236778846972374,1.8965906248446234
0.24756336212158203,0.15239789154867042,1.8463510954077451
0.2979557514190674,0.15243634625471597,1.7769334966405879
0.3471856117248535,0.15255458245467993,1.5739014698948226
0.3972489833831787,0.1526285335824484,1.4837030507140851
0.44759178161621094,0.15271857090144292,1.412461227002687
0.4972383975982666,0.1529284352894381,1.2178592688724514
0.5474541187286377,0.1530480663625427,1.1263647715289526
0.5971224308013916,0.1533138404142083,0.9336920845475676
0.6467394828796387,0.1534567290426393,0.8441563765824656
0.6973686218261719,0.15376006137840656,0.6436883861086009
0.7476766109466553,0.1539177075657359,0.5454518652135232
0.797823429107666,0.15423946994343288,0.3540062061802915
0.8475463390350342,0.1544012789714443,0.24015430141511618
0.8974812030792236,0.15417199433425477,-0.010565150191748751
0.9473421573638916,0.1537838780485317,-0.0700589950744479
0.9974184036254883,0.1529640036446704,-0.16225126118883182
1.0478506088256836,0.1525237033244814,-0.18897566560757717
1.0971007347106934,0.1515944734602708,-0.2179273762681222
1.1470756530761719,0.15109554934118022,-0.21499497841387027
1.1975631713867188,0.15056976361457383,-0.20322094132318802
1.2476201057434082,0.21876470721012842,-0.05478146440824804
1.297119140625,0.21806938102765727,-0.02379913940362166
1.347175121307373,0.21671148320459288,0.027805815038897782
1.3972585201263428,0.2160724828511223,0.03826876317310779
1.447038173675537,0.21460304610959932,0.02133210316825984
1.4977290630340576,0.21331579600313977,-0.007614677944046022
1.5475170612335205,0.2098952146039111,-0.030307781495133357
1.5972907543182373,0.20791879950084474,-0.03073142122472139
1.6471152305603027,0.2027609495703391,-0.03864894658236184
1.6971898078918457,0.20010383522864852,-0.036923276837987684
1.7470736503601074,0.19356770114061864,-0.039283486663285405
1.797217845916748,0.19022706114738538,-0.03754046955157664
1.8474376201629639,0.182317029928687,-0.03680558021618462
1.897317886352539,0.17829230484454586,-0.03525033310283421
1.9471020698547363,0.16901462312137058,-0.03293251791034946
1.9969594478607178,0.16430705862459502,-0.03150008505870305
2.047438383102417,0.15905248621224735,-0.029930528563510528
2.0981101989746094,0.22370258304444185,-0.0013168581334186413
2.1473562717437744,0.21787990747168354,-0.001142099073829339
2.197129964828491,0.2053000793216748,-0.005787829101076891
2.2476513385772705,0.19880791972748513,-0.007900048494455802
2.2975573539733887,0.184468266594522,-0.00991938897827338
2.3474819660186768,0.17729564790309293,-0.010974203735350185
2.3973581790924072,0.16161580182083746,-0.012733649168934935
2.4471547603607178,0.15376662915768277,-0.012868606607862485
2.49798846244812,0.21665812013202532,0.002974894047997889
2.5474627017974854,0.2081274478989791,0.0032225881785714616
2.5971927642822266,0.18972877984435094,-0.0015003877844164126
2.647246837615967,0.18051772434900012,-0.0031199581768359685
2.6970889568328857,0.16077994635177736,-0.004612669474283182
2.7471089363098145,0.15089546961640596,-0.0045233565393598685
2.7985732555389404,0.21298958131665666,0.0037590097572237635
2.8478927612304688,0.20279057295842284,0.003111885879949705
2.897268533706665,0.19178805931699736,0.0006236703370094965
2.9473652839660645,0.16912613026679657,-0.000949059905466676
2.997328519821167,0.15745554787712032,-0.000832917755871243
3.0475716590881348,0.21734319100865723,0.0014249042069589546
3.097374439239502,0.20572368875593092,0.0002967675528924296
3.1471216678619385,0.180962846383669,-0.0012399121217847586
3.197789430618286,0.16866871114134543,-0.0009610429309971914
3.2480266094207764,0.22634397977096624,-0.0022370210847046934
3.2980804443359375,0.21409491092527713,-0.0035164852850959605
3.347334623336792,0.18820646754719747,-0.0033322154848334233
3.397505283355713,0.17528997617510095,-0.0028999443127029068
3.451491594314575,0.22911609964049195,-0.00821908159536755
3.499213457107544,0.21633593932779835,-0.00898634139288923
3.5477418899536133,0.18928344861584132,-0.007522256769807666
3.597432851791382,0.1758593235518928,-0.0064982949243557195
3.647777795791626,0.1624674818930737,-0.005526730103439403
3.6986746788024902,0.2116163040386026,-0.015768538570751334
3.7474303245544434,0.19838540795602488,-0.015254761170479414
3.797640085220337,0.17139066208756035,-0.01285228278761319
3.8475022315979004,0.1579541760318062,-0.012049289620447379
3.8985755443573,0.2017157477789655,-0.025102774846734954
3.9472975730895996,0.18900510057531453,-0.024444696356449747
3.996889352798462,0.16298676569798695,-0.021398746972608688
4.046864748001099,0.15009207275803618,-0.020095328784653477
4.0971832275390625,0.18795990852805983,-0.036233763798571024
4.147061824798584,0.175806938539771,-0.0351811423428543
4.196826934814453,0.15111241791025806,-0.031931415474231624
4.2473461627960205,0.19408653083502517,-0.051648686195793214
4.296893835067749,0.1697767835510593,-0.0478269152013604
4.3472580909729,0.15727953785103366,-0.04599559933236641
4.398052215576172,0.18126087801397303,-0.05515212785134027
4.447197914123535,0.16958153148352662,-0.0588160204244852
4.497232437133789,0.15780238519422513,-0.06526248141656943
4.548073768615723,0.179736380220584,-0.06063601135421637
4.597736597061157,0.16882117891916548,-0.06590850005501792
4.648228168487549,0.19390286617257685,-0.06508254019728921
4.698210954666138,0.1838675207925845,-0.07236182341972497
4.74751353263855,0.16415365270039006,-0.07877124146386882
4.797083139419556,0.15456972283225925,-0.0801694298127209
4.847804307937622,0.1887274413977257,-0.0838850224786718
4.897555351257324,0.18016307409422977,-0.08455429480670662
4.947191476821899,0.16351418540876433,-0.08745829961206697
4.996906042098999,0.1553844103142749,-0.08788200064501417
5.04855489730835,0.1982369884382502,-0.08984883940803455
5.09710955619812,0.1907887042988962,-0.09087374730139451
5.146786689758301,0.1762842685538126,-0.09197468895040029
5.197035551071167,0.16915604216101157,-0.09192496928110772
5.247101306915283,0.1552000577300518,-0.0919377676054054
5.297730445861816,0.21081514883055782,-0.09119450756950574
5.347706079483032,0.2036746761058537,-0.0906048098864113
5.397904872894287,0.18935824235516174,-0.08869577993797095
5.44763970375061,0.18224486543675839,-0.08753884318989325
5.497309446334839,0.16809634948007793,-0.08153153961007119
5.54773211479187,0.1612046995544027,-0.0730265491371806
5.597948312759399,0.2102161048285998,-0.08112559012359272
5.647573947906494,0.20272444919060556,-0.08032298654368192
5.697251319885254,0.1874767978087034,-0.06968123226696016
5.747504949569702,0.18012034534699609,-0.06384517906314319
5.797667980194092,0.1656329059677078,-0.0529585855513835
5.847632169723511,0.15885094784569276,-0.04850934508276967
5.897935152053833,0.20531963137626227,-0.07150007292692842
5.947502613067627,0.1979282427262785,-0.06826400960613813
5.998483896255493,0.1832661585346298,-0.05943521940407298
6.047911167144775,0.17627857151972415,-0.05711714016676842
6.097589731216431,0.16943248501461178,-0.056341073543618184
6.146853446960449,0.1571802651031906,-0.06276147898256804
6.197555780410767,0.15158029754926886,-0.06436425074695822
6.248597860336304,0.19380328225049184,-0.06955284619282792
6.297277212142944,0.1869475255383123,-0.06963888521299007
6.347081661224365,0.17325117125029854,-0.07235093018159128
6.397122859954834,0.16662513275840435,-0.07549063922654173
6.447108507156372,0.15415543042889623,-0.08582801860422382
6.497675180435181,0.2033683232097586,-0.06105007343800914
6.547400712966919,0.18747796932030877,-0.06488215679377932
6.5970139503479,0.17925685860959562,-0.06884543177330207
6.646956920623779,0.16265889921017343,-0.07915830507985505
6.697674751281738,0.15459036153646144,-0.08780967060548
6.747753858566284,0.1972614546826884,-0.04523762928125208
6.7971649169921875,0.1881770495778627,-0.04814123222000217
6.8475964069366455,0.17871765028524872,-0.05373367739120382
6.897249698638916,0.15927361254561517,-0.0667640283127025
6.949089527130127,0.2149886993874958,-0.028199647317154353
6.99770188331604,0.19419864173149554,-0.025591960574816053
7.047578811645508,0.18325412118228576,-0.020836755240106086
7.097233295440674,0.160332835835439,-0.018290344884984266
7.147527694702148,0.21873730324215462,0.009498988996091029
7.197224855422974,0.19505393136802915,0.027325702865268146
7.247704267501831,0.18281817611683995,0.025649573405247424
7.298254489898682,0.15777305274799905,0.02130562201139752
7.349376440048218,0.2171767817884402,0.044506238312588264
7.397991180419922,0.19236680362383418,0.050350889815439115
7.447546005249023,0.1796609960202663,0.04649788201395605
7.497040033340454,0.1541011849265538,0.039606246715870326
7.547943353652954,0.2123993803279755,0.06230806043195708
7.59873104095459,0.18764217459241928,0.05716263392811755
7.6478424072265625,0.174773806142367,0.048799962708181155
7.697595834732056,0.16205157529390876,0.04481437442609376
7.747951984405518,0.2045786045823243,0.06125281039402608
7.797952175140381,0.19220603085787036,0.05873550749833967
7.847121715545654,0.16680772824717782,0.0486757612604036
7.897084474563599,0.1542854902126538,0.04384220965777505
7.947135925292969,0.19843040251385588,0.06141455713608154
7.996843338012695,0.18658167002530185,0.05865410585476993
8.047050952911377,0.16235383216556057,0.052815362617422465
8.096803903579712,0.15032785336251758,0.051397364039807145
8.147146701812744,0.19873704599801048,0.05912952351691368
